index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	याः		याः	यद्{सर्वनाम;स्त्री;1;बहु}/यद्{सर्वनाम;स्त्री;2;बहु}	यद्{सर्वनाम;स्त्री;1;बहु}	नित्य_सम्बन्धः1,8.1;विशेषणम्,3.2	विशेषणम्,8.1#विशेषणम्,3.2#विशेषणम्,2.1#वीप्सा,2.1#नित्य_सम्बन्धः1,8.1#कर्म,6.1#कर्ता,6.1	N1	जो	जो
2.1	याः		याः	यद्{सर्वनाम;स्त्री;1;बहु}/यद्{सर्वनाम;स्त्री;2;बहु}	यद्{सर्वनाम;स्त्री;1;बहु}	नित्य_सम्बन्धः1,8.1;विशेषणम्,3.2	विशेषणम्,8.1#विशेषणम्,3.2#नित्य_सम्बन्धः1,8.1#कर्म,6.1#कर्ता,6.1	N1	जो	जो
3.1	परम-		परम-स्त्रियः	परम	परम	समासः,3.2	समासः,3.2	CP	परम-	परम-
3.2	स्त्रियः		--	स्त्री{स्त्री;1;बहु}/स्त्री{स्त्री;2;बहु}/स्त्री{स्त्री;8;बहु}	स्त्री{स्त्री;1;बहु}	कर्ता,6.1	विशेषणम्,8.1#कर्म,6.1#कर्ता,6.1	N1	स्त्रियाँ	स्त्रियाँ
4.1	पति-		पति-कृतान्	पति	पति	समासः,4.2	समासः,4.2	CP	पति-	पति-
4.2	कृतान्		--	कृत{पुं;2;बहु(कृ2;क्त;स्वादिः)}/कृत{पुं;2;बहु(कृ3;क्त;तनादिः)}	कृत{पुं;2;बहु(कृ2;क्त;स्वादिः)}	विशेषणम्,5.1	विशेषणम्,5.1#कर्म,6.1	N2	निर्मितों_को	निर्मितों_को
5.1	लोकान्		लोकान्	लोक{पुं;2;बहु}	लोक{पुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2	लोक_को	लोक_को
6.1	इच्छन्ति		इच्छन्ति	इष्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तुदादिः}/इच्छत्{नपुं;1;बहु(इष्2;शतृ_लट्;तुदादिः)}/इच्छत्{नपुं;2;बहु(इष्2;शतृ_लट्;तुदादिः)}	इष्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तुदादिः}	-	-	KP	इच्छा_करते_हैं	इच्छा_करते_हैं
7.1	अ-		अ-तन्द्रिताः	अ	अ	समासः,7.2	समासः,7.2	CP	अ-	अ-
7.2	तन्द्रिताः		--	तन्द्रि{तल्;स्त्री;1;बहु}/तन्द्रि{तल्;स्त्री;2;बहु}	तन्द्रि{तल्;स्त्री;1;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N1	तन्द्रि	तन्द्रि
8.1	ताः		ताः	तद्{सर्वनाम;स्त्री;1;बहु}/तद्{सर्वनाम;स्त्री;2;बहु}	तद्{सर्वनाम;स्त्री;1;बहु}	-	-	N1	वे	वे
9.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	तो	तो
10.1	क्षिप्रम्		क्षिप्रम्	क्षिप्रम्{अव्य}/क्षिप्र{नपुं;1;एक}/क्षिप्र{नपुं;2;एक}	क्षिप्रम्{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	जल्दी	जल्दी
11.1	जाह्नवी-		जाह्नवी-जलम्	जाह्नवी	जाह्नवी	समासः,11.2	समासः,11.2	CP	जाह्नवी-	जाह्नवी-
11.2	जलम्		--	जल{नपुं;2;एक}/जल{नपुं;1;एक}	जल{नपुं;2;एक}	कर्म12.1	कर्म12.1	N2	जल_को	जल_को
12.1	अवगाहन्		अवगाहन्	-	-	-	-	KP		
13.1	.		.	-	-	-	-	FS	-	-
