index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	शुभे		शुभे	शुभ{नपुं;1;द्वि}/शुभ{नपुं;2;द्वि}/शुभा{स्त्री;1;द्वि}/शुभा{स्त्री;2;द्वि}/शुभ{नपुं;8;द्वि}/शुभा{स्त्री;8;एक}/शुभा{स्त्री;8;द्वि}/शुभ{पुं;7;एक}/शुभ{नपुं;7;एक}	शुभा{स्त्री;8;एक}	सम्बोध्यः,8.1	अधिकरणम्,21.1#अधिकरणम्,16.1#अधिकरणम्,12.1#अधिकरणम्,8.1#सुप्_समुच्चितः,2.1	N8	शुभ	शुभ
2.1	इयम्		इयम्	इदम्{सर्वनाम;स्त्री;1;एक}	इदम्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,5.1	विशेषणम्,7.1#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1	N1	यह	यह
3.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,2.1	सुप्_समुच्चय_द्योतकः,2.1#सम्बन्धः,2.1	NA	च2	च2
4.1	सर्वा		सर्वा	सर्वा{सर्वनाम;स्त्री;1;एक}	सर्वा{सर्वनाम;स्त्री;1;एक}	विशेषणम्,5.1	विधेय_विशेषणम्,2.1#विशेषणम्,7.1#विशेषणम्,5.1#कर्ता_बे_वेर्ब्स्,8.1	N1	सर्वा	सर्वा
5.1	मही		मही	मही{स्त्री;1;एक}	मही{स्त्री;1;एक}	कर्ता,8.1	विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#कर्ता_बे_वेर्ब्स्,12.1#कर्ता_बे_वेर्ब्स्,8.1	N1	पृथ्वी	पृथ्वी
6.1	इदानीं		इदानीं	इदानीम्{अव्य}	इदानीम्{अव्य}	कालाधिकरणम्,8.1	कालाधिकरणम्,21.1#कालाधिकरणम्,16.1#कालाधिकरणम्,12.1#कालाधिकरणम्,8.1	NA	अब	अब
7.1	शून्या		शून्या	शून्या{स्त्री;1;एक}	शून्या{स्त्री;1;एक}	विधेय_विशेषणम्,5.1	विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#कर्ता_बे_वेर्ब्स्,12.1#कर्ता_बे_वेर्ब्स्,8.1	N1	शून्य	शून्य
8.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,5.1	-	KP	है	है
9.1	मे		मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	सम्बन्धः,12.1	प्रयोजनम्1,21.1#प्रयोजनम्1,16.1#प्रयोजनम्1,12.1#षष्ठीसम्बन्धः,18.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,11.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1	N6	मेरे_लिये	मेरे_लिये
10.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,12.1	प्रतिषेधः,21.1#प्रतिषेधः,16.1#प्रतिषेधः,12.1	NA	नहीं	नहीं
11.1	प्रीति-		प्रीति-करी	प्रीति	प्रीति	समासः,11.2	समासः,11.2	CP	प्रीति-	प्रीति-
11.2	करी		--	करिन्{पुं;1;एक}	करिन्{पुं;1;एक}	कर्ता,12.1	विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#कर्ता_बे_वेर्ब्स्,12.1	N1	हाथी	हाथी
12.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,11.2	-	KP	है	है
