 ath	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	सर्वे		सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;नपुं;2;द्वि}	कर्म,3.1	विशेषणम्,9.2#विशेषणम्,7.1#कर्म,3.1#विशेषणम्,10.1#विशेषणम्,2.1#कर्ता,3.1	N2	सब_को	सब_को
2.1	भवन्तः		भवन्तः	भवत्{सर्वनाम;पुं;1;बहु}/भवन्त{पुं;1;एक}	भवत्{सर्वनाम;पुं;1;बहु}	कर्ता,3.1	विशेषणम्,10.1#विशेषणम्,7.1#कर्ता,3.1	N1	आप	आप
3.1	गच्छन्तु		गच्छन्तु	गम्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,2.1;सकर्मक	-	KP	जायें	जायें
4.1	भगीरथीं		भगीरथीं	-	-	-	-	FS		
5.1	नदीं		नदीं	नदी{स्त्री;2;एक}	नदी{स्त्री;2;एक}	सन्दर्भ_बिन्दुः,6.1	उप_कर्मप्रवचनीयः,6.1#उप_आभिमुख्यम्,6.1#कर्म,10.1	N2	नदी_की	नदी_की
6.1	प्रति		प्रति	प्रति{अव्य}	प्रति{अव्य}	आभिमुख्यम्,10.1	सम्बन्ध_उप,14.1#सम्बन्ध_उप,10.1	NA	ओर	ओर
7.1	ये		ये	यद्{सर्वनाम;पुं;1;बहु}/यद्{सर्वनाम;नपुं;1;द्वि}/यद्{सर्वनाम;नपुं;2;द्वि}/यद्{सर्वनाम;स्त्री;1;द्वि}/यद्{सर्वनाम;स्त्री;2;द्वि}	यद्{सर्वनाम;नपुं;2;द्वि}	कर्म,10.1	विशेषणम्,9.2#कर्म,14.1#कर्म,10.1#विशेषणम्,10.1#नित्य_सम्बन्धः1,11.1	N2	जो	जो
8.1	अस्मिन्		अस्मिन्	इदम्{सर्वनाम;पुं;7;एक}/इदम्{सर्वनाम;नपुं;7;एक}	इदम्{सर्वनाम;पुं;7;एक}	विशेषणम्,9.2	विशेषणम्,9.2#अधिकरणम्,14.1#अधिकरणम्,10.1	N7	इस	इस
9.1	रण-		रण-अजिरे	रण	रण	समासः,9.2	समासः,9.2	CP	रण-	रण-
9.2	अजिरे		--	अजिर{नपुं;1;द्वि}/अजिर{नपुं;2;द्वि}/अजिरा{स्त्री;1;द्वि}/अजिरा{स्त्री;2;द्वि}/अजिर{नपुं;8;द्वि}/अजिरा{स्त्री;8;एक}/अजिरा{स्त्री;8;द्वि}/अजिर{नपुं;7;एक}/अजिर{पुं;7;एक}	अजिर{पुं;7;एक}	अधिकरणम्,10.1	अधिकरणम्,14.1#अधिकरणम्,10.1#कर्म,14.1#कर्म,10.1	N7	अजिर_में	अजिर_में
10.1	हताः		हताः	हन्{तल्;स्त्री;1;बहु}/हन्{तल्;स्त्री;2;बहु}/हत{पुं;1;बहु(हन्1;क्त;अदादिः)}/हता{स्त्री;1;बहु(हन्1;क्त;अदादिः)}/हता{स्त्री;2;बहु(हन्1;क्त;अदादिः)}	हत{पुं;1;बहु(हन्1;क्त;अदादिः)}		कर्म,14.1	N1	मारा_गये	मारा_गये
11.1	तान्		तान्	तद्{सर्वनाम;पुं;2;बहु}	तद्{सर्वनाम;पुं;2;बहु}	विशेषणम्,12.1	विशेषणम्,12.1#कर्म,14.1	N2	उन	उन
12.1	सर्वान्		सर्वान्	सर्व{सर्वनाम;पुं;2;बहु}	सर्व{सर्वनाम;पुं;2;बहु}	कर्म,14.1	कर्म,14.1	N2	सब	सब
13.1	तत्र		तत्र	तत्र{अव्य}	तत्र{अव्य}	देशाधिकरणम्,14.1	देशाधिकरणम्,14.1	NA	वहाँ	वहाँ
14.1	द्रक्ष्यथ		द्रक्ष्यथ	दृश्1{कर्तरि;लृट्;म;बहु;परस्मैपदी;भ्वादिः}	दृश्1{कर्तरि;लृट्;म;बहु;परस्मैपदी;भ्वादिः}		-	KP	देखोगे	देखोगे
15.1	.		.	-	-	-	-	FS	-	-
