index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	नः		नः	अस्मद्{सर्वनाम;2;बहु}/अस्मद्{सर्वनाम;6;बहु}/अस्मद्{सर्वनाम;4;बहु}/नृ{पुं;8;एक}	अस्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,2.1	प्रयोजनम्1,14.1#प्रयोजनम्1,13.2#प्रयोजनम्1,9.1#प्रयोजनम्1,7.1#कर्ता,13.2#कर्म,13.2#षष्ठीसम्बन्धः,13.2#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,7.2#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,2.1#सुप्_समुच्चितः,5.1#कर्म,7.1	N6	हमें	हमें
2.1	चेदयः		चेदयः	चेदि{पुं;1;बहु}/चेदि{पुं;8;बहु}	चेदि{पुं;1;बहु}	कर्ता,9.1	सुप्_समुच्चितः,5.1#कर्म,9.1	N1	चेदि	चेदि
3.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	च1	च1
4.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,2.1	सम्बन्धः,3.1	NA	ही	ही
5.1	मत्स्याः		मत्स्याः	मत्स्य{पुं;1;बहु}/मत्स्या{स्त्री;1;बहु}/मत्स्या{स्त्री;2;बहु}/मत्स्य{पुं;8;बहु}/मत्स्या{स्त्री;8;बहु}	मत्स्या{स्त्री;1;बहु}	समुच्चितः,2.1	कर्म,9.1#कर्म,7.1#समुच्चितः,2.1	N1	मछलियाँ	मछलियाँ
6.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	सुप्_समुच्चय_द्योतकः,5.1#सम्बन्धः,5.1	NA	च2	च2
7.1	दृष्ट-		दृष्ट-पूर्वाः	दृष्ट(दृश्1;क्त;भ्वादिः)	दृष्ट(दृश्1;क्त;भ्वादिः)	समासः,7.2	समासः,7.2	CP		
7.2	पूर्वाः		--	पूर्व{पुं;1;बहु}/पूर्व{सर्वनाम;पुं;1;बहु}/पूर्वा{सर्वनाम;स्त्री;1;बहु}/पूर्वा{सर्वनाम;स्त्री;2;बहु}/पूर्व{पुं;8;बहु}/पूर्वा{स्त्री;8;बहु}/पूर्वा{स्त्री;1;बहु}/पूर्वा{स्त्री;2;बहु}	पूर्वा{सर्वनाम;स्त्री;2;बहु}	विशेषणम्,9.1	विशेषणम्,9.1#कर्म,14.1#कर्म,9.1	N1	पूर्वा	पूर्वा
8.1	तथैव		तथैव	तथैव{अव्य}	तथैव{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,14.1#क्रियाविशेषणम्,9.1	NA	वैसे_ही	वैसे_ही
9.1	निहताः		निहताः	निहन्{तल्;स्त्री;1;बहु}/निहन्{तल्;स्त्री;2;बहु}/निहत{पुं;1;बहु(नि_हन्1;क्त;अदादिः)}/निहता{स्त्री;1;बहु(नि_हन्1;क्त;अदादिः)}/निहता{स्त्री;2;बहु(नि_हन्1;क्त;अदादिः)}	निहता{स्त्री;1;बहु(नि_हन्1;क्त;अदादिः)}	-	कर्म,14.1	N1	मारा_हुआयें	मारा_हुआयें
10.1	केवलं		केवलं	केवल{पुं;2;एक}/केवल{नपुं;1;एक}/केवल{नपुं;2;एक}	केवल{पुं;1;एक}	विशेषणम्,11.1	क्रियाविशेषणम्,14.1#क्रियाविशेषणम्,13.2#क्रियाविशेषणम्,9.1#क्रियाविशेषणम्,7.1#कर्म,14.1	N1	केवल_को	केवल_को
11.1	वृष्णिचक्रं		वृष्णिचक्रं	वृष्णिचक्र{पुं;1;एक}	वृष्णिचक्र{पुं;1;एक}	कर्ता,14.1	कर्ता,14.1	F1		
12.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	तो	तो
13.1	वासुदेव-		वासुदेव-परिग्रहात्	वासुदेव	वासुदेव	समासः,13.2	समासः,13.2	CP	वासुदेव-	वासुदेव-
13.2	परिग्रहात्		--	परिग्रह{पुं;5;एक(परि_ग्रह्1;घञ्;क्र्यादिः)}/परिग्रह{नपुं;5;एक}	परिग्रह{पुं;5;एक(परि_ग्रह्1;घञ्;क्र्यादिः)}	हेतुः,14.1	हेतुः5,14.1#अपादानम्,14.1	N5	परिग्रह_से	परिग्रह_से
14.1	रक्षितम्		रक्षितम्	रक्षित{पुं;2;एक(रक्ष्1;क्त;भ्वादिः)}/रक्षित{नपुं;1;एक(रक्ष्1;क्त;भ्वादिः)}/रक्षित{नपुं;2;एक(रक्ष्1;क्त;भ्वादिः)}	रक्षित{पुं;2;एक(रक्ष्1;क्त;भ्वादिः)}	-	-	N1	रक्षा_किया_हुए_को	रक्षा_किया_हुए_को
15.1	.		.	-	-	-	-	FS	-	-
